,Ground_truth,Prediction,trial,trial2
19,A superfluous precaution for there was no other car,a superfluos precaution for there was no other car,"
A superfluous precaution, for there was no other car.","
A superfluous precaution, for there was no other car."
20,abroad ; and no pedestrian to cross his path nor to wait,obroad ; and no pedestrion to cross his path nor to wait,"
No broad; and no pedestrian to cross his path nor to wait.","
    No road; and no pedestrian to cross his path nor to wait."
21,at an intersection for the light to change . At his,at an intersection for the light to change . At his,"
At an intersection waiting for the light to change. At his","
At an intersection for the light to change, he waited."
22,apartment he garaged his car and then stood,apartment he garaged his car and then stood,"
    He parked his car in the garage and then stood.","
    He parked his car in the garage and then stood."
23,listening in the night . Listening in vain . For the,listenina in the night . Listening in vain . For the,"
Listening in the night. Listening in vain. For the","
Listening in the night. Listening in vain for the."
24,"earth had lost its life-tempo , as the heart","Carthlhad lost its life-tempo , as the heat","
Carthage had lost its lively tempo, as the heat","
Carthage had lost its lively tempo, as the heat"
25,"Deadly stillness , deadly portent !","Deadly stillness , deadly portent !","
Deadly stillness, deadly portent!","
Deadly stillness, deadly omen!"
26,Steve awakened early and switched on,stere awakened early and switched on,"
    She awoke early and switched on.","
She awoke early and switched on"
27,"the radio , which he kept tuned to CBO.","the radio , which he kept tuned to CB0 .","
The radio, which he kept tuned to CBN.","
The radio, which he kept tuned to CBN."
28,The set lighted-up but gave only a low,The set lighted-up but gave only a low,"
The set lit up but gave only a low light.","
The set lit up but gave only a low light."
29,buzzing sound . He had just finished,burzing sound . He had just finished,"
Burzing sound. He had just finished.","
Burring sound. He had just finished."
30,"shaving when it came on , with a flat","shaving when it came on , with a flat","
Shaving when it came down, with a flap","
Shaving when it came on, with a flair"
31,"voice repeating : "" This is BBC calling","voice repeating : "" This is BC calling"," Voice repeating: ""This is ABC calling."," Voice repeating: ""This is ABC calling"""
32,"... this is BBC calling ... ""","i . this is B callincg . . . ""","
I'm calling.","
I'm calling."
33,"After what seemed an undue period of repetition , the voice","iffer what seaned an uncime period of repetition , the vice","
If after what seemed an uncanny period of repetition, the vice","
If after what seemed an uncanny period of repetition, the vice"
34,went on to describe the landing of the Thetan colony,went on to cuscrite the Comming of the Thetan colony,"
Went on to circumscribe the Coming of the Thetan colony.","
Went on to circumscribe the Coming of the Thetan colony."
35,"in Sussex , in all its obscene details . Then the radio","sin Susex , in all its odscne details . Then the radio","
    Since Sussex, in all its obscene details. Then the radio.","
    Since Sussex, in all its obscene details. Then the radio."
36,"went dead again , and Steve had no stomach for","went dead again , and Hhere had no stomack for","
Went dead again, and here had no stomach for","
Went dead again, and here had no stomach for"
37,"breakfast . It was a beautiful day , as firsts-of-June","treatfusl . It was a beantiful day , as firsts-of Jue","
Treatful. It was a beautiful day, as firsts-of June.","
Treatful. It was a beautiful day, as firsts-of June."
38,should be . Steve got out the car and traversed the,should be . Here got out the car and travesed the,"
Here I got out of the car and traversed the","
Here I got out of the car and traversed the"
39,"same empty streets as he had the night before ,","saime uply strects as he had the night before ,","
Samely plied streets as he had the night before.","
Samely ply streets as he had the night before,"
40,to keep an appointment with Heather .,to heep ap appointment with Henther -,"
To keep an appointment with Heather.","
To keep an appointment with Heather."
41,Coming around the great mass of the Chateau,Coming around the great mass of the Chatean,"
Coming around the great mass of the Château","
Coming around the great mass of the Château"
42,"Laurier , he braked to a screeching stop . A","Lamier , he baket to a sceeching otop . A","
Lamier, he baked to a screeching halt. A","
Lamier, he baked to a screeching halt. A"
43,flying saucer was tilting and dipping over,flying sancer was tilting and dipping over,"
Flying saucer was tilting and dipping over.","
Flying saucer was tilting and dipping over."
44,the War Memorial . There was a deep,the war Memonal . There was a deep,"
The war Memorial. There was a deep","
The war Memorial. There was a deep"
45,"whirring sound , and a high-pitched hissing","whiring sound , and a high-pitched hising","
    A whirring sound, and a high-pitched hissing.","
    A whirring sound, and a high-pitched hissing."
46,overtone that sang in his ears with an,overtone that sang in his ears with an,"
    Overtones that sang in his ears with a","
    Overtones that sang in his ears with an"
47,almost painful sharpness . He reversed and,almost painful sharpness . He reversed and,"
Almost painful sharpness. He reversed and","
Almost painful sharpness. He reversed, and"
48,turned back on McKenzie Avenue .,"turmed back on Mc hengie Avene ,","
Turned back on McHenry Avenue.","
turned back on McHenry Avenue."
49,""" The Thetans , "" he said , "" are presumably here to",""" The Fretans , "" he said , "" are presumably here to"," ""The Freelancers,"" he said, ""are presumably here to"," ""The Freelancers,"" he said, ""are presumably here to"
50,"take charge , as it were , of the minds of the","take charge , as it were , of the minds of the","
Take charge, as it were, of the minds of the people.","
Take charge, as it were, of the minds of the people."
51,people - who are probably falling all over them-,speople -who are probably falling all over them-,"
People -who are probably fawning all over them-","
People -who are probably falling all over them-"
52,selves in their zeal to get their orders and to carry,selves in their geal to get their onders and to carry,"
selves in their zeal to get their wonders and to carry","
selves in their zeal to get their wonders and to carry"
53,"them out . Just what these orders will be , we don't","them out . Just what these ondens will be , we don't","
    Them out. Just what these odds will be, we don't.","
    Them out. Just what these odens will be, we don't."
54,"know . Now , because of prior hypnosis we have es-","know . Now , because of prion hypnoots we have es-","
Now, because of prion hypnosis we have established.","
Know now, because of prion hypnosis we have es-"
55,caped Thetan subjugation . This time . But we no,caped thetan subjugation . This time . But we no,"
Caped thetan subjugation this time, but we know.","
Caped thetan subjugation. This time, but we know."
56,longer have any immunity .,longer have any immunty .,"
    I no longer have any immunity.","
    I no longer have any immunity."
57,There is just a hope that we may uncover,There is just a hope that we may uncover,"
There is just a hope that we may uncover","
There is just a hope that we may uncover"
58,"some weakness , and find a way of fighting","some weakness , and find a way of fighting","
Some weaknesses, and find a way of fighting.","
Some weaknesses, and find a way of fighting."
59,"back at them . "" Heather agreed , and suggested","back at them . "" Heather , agreed , and suggested","
Back at them,"" Heather agreed and suggested.","
Back at them,"" Heather agreed and suggested."
60,that they use Dan as a specimen demonstra-,that they use Dan as a specimen demonsha-,"
That they use Dan as a specimen demonstration.","
That they use Dan as a specimen demonstration."
61,ting how the Thetan machinations had been,ting how the Fhetan mahinations had been,"
Seeing how the Phoenician machinations had been","
Seeing how the Phenomenal machinations had been"
62,working out . It occurred to Steve that this may,working out . It scurred to steve that this may,"
Working out. It occurred to Steve that this may.","
Working out. It occurred to Steve that this may"
63,not have been entirely an objective suggestion,not have been entiriely an objective onggestion,"
Not have been entirely an objective suggestion","
    Not have been entirely an objective suggestion."
64,on her part ; but he thought it a good idea,on her part ; but he thought it a goad idea,"
On her part; but he thought it a good idea.","
On her part; but he thought it a good idea."
65,There can be little doubt that if the,The re can be little doubt that if the,"
The there can be little doubt that if the","
The re can be little doubt that if the situation had been different."
66,Thetans discover our mental independence,Thetains discover ou mental independece,"
The tenets discover our mental independence.","
The tenets discover our mental independence."
67,they will promptly give us their hypnotic,they will probubly give us their hypnotic,"
They will probably give us their opinion.","
They will probably give us their opinion."
68,treatment . If we can avoid undue,treatment . If we cans avoid in dre,"
treatment. If we can avoid in dread.","
treatment. If we can avoid in dread."
69,"prominence , it may be that we can","prominence , it may be that we can","
Prominence, it may be that we can.","
Prominence, it may be that we can."
70,move about pretty freely without,move about prutty fleebe withon t,"
Move about pretty freely within.","
Move about pretty freely within."
71,"detection . If we can - well , then we","detections . A be con - well, then we","
Detections. A be con - well, then we","
Detections. A be con-well, then we"
72,may be able to promote our own,mory he able to prouate our,"
    Morty was able to propagate our.","
    Morty was able to propagate our."
73,interests . What those interests,nterets . What those interets,"
Interests. What are those interests?","
Interests. What are those interests?"
74,"are , beyond personal security ,","are , beyond personal scurity ,","
Are we beyond personal security?","
Are beyond personal security?"
75,"I haven't a clue ; but , who knows ,","I havn't a cdue ; but , who kaowrs ,","
I haven't a clue; but, who knows,","
I haven't a clue; but, who knows,"
76,we may form the nucleus around ...,we may tomMenuchusaod ...,"
We may commemorate the occasion.","
We may continue to discuss this."
77,"When he finally beckoned to them to enter , the action","When he finally beckoned to them to enter , the action"," When he finally beckoned to them to enter, the action","
When he finally beckoned to them to enter, the action"
78,gave the impression of having been thought out and,gave the impression of having been thought out and,"
    gave the impression of having been thought through and","
    gave the impression of having been thought through and"
79,"decided upon . Inside they sat down unbidden , while","decided upon . Iside they sat down ubidden , while","
Decided upon, aside they sat down unbidden, while.","
Decided upon, aside they sat down unbidden, while."
80,Dan paced the floor . He seemed completely unaware,Baspaced the flowr . He seemed completely unaware,"
    Braced the flower. He seemed completely unaware.","
    Braced the flower. He seemed completely unaware."
81,"of their presence . They just stared at him , turning","of their precence . They just stared at him , tuning","
of their presence. They just stared at him, looming.","
of their presence. They just stared at him, looming."
82,their heads like tennis spectators as he walked up and,their heads like ternis spectators as he walked up and,"
Their heads turned like tennis spectators as he walked up and","
Their heads turned like tennis spectators as he walked up and"
83,""" Now , to summarize what I think our",""" Now , to summarize what I think our"," Now, to summarize what I think our"," Now, to summarize what I think our"
84,"course of action should be . First , to avoid the","course of action should be . First , to avoid the"," Course of action should be. First, to avoid the"," Course of action should be first, to avoid the"
85,"Thetans like the plague , for they must not","Thetans like the plagre , for they must not","
The Titans like the plague, for they must not.","
Thetans like the plague, for they must not."
86,"find us out ! Second , to tread pretty warily","find us out ! second , to tread pretty earily","
Find us out! Secondly, to tread pretty early.","
Find us out! Secondly, to tread pretty early."
87,"among our own people , finding out just how","amiong our own people , finding out just how","
Among our own people, finding out just how","
Among our own people, finding out just how"
88,much freedom we can take with safety .,much freedon we can take with sefety .,"
Much freedom we can take with safety.","
Much freedom we can take with safety."
89,"And third , to study these damned Thetans .","And thirt , to study these dauned Thetans .","
And then, to study these daunted Thetans.","
And third, to study these daunted Thetans."
90,We must learn all we can about,We must learn all we can about,We must learn all we can about.,We must learn all we can about.
91,So they proceeded to see if the coast,So they proceeded to see if the coast,So they proceeded to see if the coast was clear.,"
So they proceeded to see if the coast was clear."
92,was clear . The street was quiet and,was clear . The street was quiet and,"
The street was clear and quiet.","
The street was clear and quiet."
93,"deserted , and there were neither sight",desterted and there were neither sight,"
Deserted and there were no sights.","
Deserted and there were no sights."
94,nor sound of flying saucers . So they,mor sond of flying sancersa So they,"
More sound of flying dancers, so they.","
More sound of flying dancers, so they."
95,ventured forth and made their way on,ventured forth and thade their way on,ventured forth and made their way on,ventured forth and made their way on
96,foot to Dan's house . Dan came,foot to Dan's house . Dan come,"
    Foot to Dan's house. Dan came.","
    Foot to Dan's house. Dan came."
97,to the door at their ring but neglected,to the door at their ring but neglected,"
To the door at their ring, but neglected.","
To the door at their ring, but neglected."
98,to offer any greeting . He was deeply,to offer any greeting . He was deeply,"
To offer any greeting, he was deeply.","
To offer any greeting, he was deeply."
99,"preoccupied , and it seemed that the","preoccupied , and it seemed that the","
Preoccupied, and it seemed like the","
Preoccupied, and it seemed that they"
100,ringing of a doorbell was to him,ringing of a doorbell was to him,,"
Ringing of a doorbell was music to him."
101,a new and strange phenomenon .,a new and strage phenomende -,,"
A new and strange phenomenon."
102,His whole attitude was a mixture of,His whole attitule was a mixture of,,"
His whole attitude was a mixture of"
103,impatience pending an awaited,impatience pending an auaited,,"
    Impatience pending an awaited"
104,communication and of a vague,Communication and of a rague,,Communication and of a vague
105,perplexity respecting his surroundings,perplexity respecting his surroudings,,"
    Perplexity regarding his surroundings"
106,and the purpose he was to serve .,and the puspose he was to serve .,,"
and the purpose he was to serve."
107,"Finally , being so obviously on their own ,","Finally , being so obviously on their own ,",,"
Finally, being so obviously alone,"
108,Heather and Steve tried to make themselves,Heather and sleve thied to make themselves,,Heather and Steve tried to make themselves
109,at home . Steve switched on Dan's,at home . Steve switched on Dan's,,"
At home, Steve switched on Dan's."
110,"powerful , world-wide radio and systematically","power ful , world-wide rodio and systematically",,"
Powerful, worldwide radio and systematically"
111,turned the tuning knob through all the,turned the tning knob through all the,,"
Turned the knob through all the turns."
112,tuning points of the world's great radio,tuning points of the wolds great redio,,"
    Tuning points of the world's great radio"
113,"They followed him to a city bus stop on Carling Avenue , where","They followed him to a city bus stop on Carling tveme , where",,"
They followed him to a city bus stop on Carling Avenue, where"
114,he waited . The bus stop was a deserted island on an empty street .,he waited . The lus stop was a deserted istand on a empty street .,,"
He waited. The bus stop was a deserted island on an empty street."
115,"But not for long , for soon pedestrians and cars flocked upon","But nd for long , for soompedertrians and cas flocked upon",," But and for long, for somnambulists and cars flocked upon"
116,the Avenue from its many tributary streets . It might have,the Aveme from its many tilumary strets . It might have,,"
The Avenue meandered from its many tertiary streets. It might have"
117,"been a normal business-day bustle , except for two anomalies .","been a normal business-day bustle , except for two anomalies .",,"
It had been a normal business-day bustle, except for two anomalies."
118,"First , it was Sunday morning ; and , second , everyone","First , it was Sunday morning ; and , second , everyoue",,"
First, it was Sunday morning; and, second, everyone"
119,"walked , or drove , or waited as a person possessed of","walked , or dove , or waited as a person possessed of",,"
Walked, or dived, or waited as a person possessed of"
120,a single all-exclusive purpose .,a single all - exclusive pupose .,,"
A single, all-purpose."
121,After a long wait a bus appeared and they,lefter a long wuit a bus appeared and thes,,"
After a long wait a bus appeared and then."
122,"followed the beaming Dan aboard , taking","followed the beuming Ban abourd , taking",,"
Followed the beaming boat aboard, taking."
123,seats some rows behind him . Steve was,seats some rows behind him . e was,,"
He was seated some rows behind him."
124,"beginning to find the stereotyped , flattish , happy","beyinning to find the steredyped , Hluthish , huppy",,"
Beginning to find the stereotype, Huluthish, happy."
125,faces very disconcerting ; and looking at,fues very discomcerting ; and looking at,,"
    It was very disconcerting; and looking at"
126,Heather he found a welcome relief in her,Heather he found a wehome reliet in her,,Heather found a welcome relief in her.
127,relatively long doleful one,reluticely tony doleful one,,"
Reluctantly Tony dolefully one."
128,Then he would go back to Plato for a final spell of,Then he would go back to Pato for a final spell of,,"
Then he would go back to Paris for a final spell of"
129,real days and would return to New York in late,real days and would return to New Yook in tate,,"
Real days and would return to New York in late."
130,January or early February . Angelina might be a,Jonnary or early Fobrmary . Angelina might be an,,"
January or early February. Angelina might be available."
131,little sorry if we were not back for Christmas,little sowy if we were not back for Christ mas,,"
Little sorry if we were not back for Christmas."
132,"as arranged , but he consoled himself by","as arranged , but he consded himsef by",,"
As arranged, but he considered himself by."
133,thinking that he and Angelina would have,thinking thatt he and Angelina would have,,"
Thinking that he and Angelina would have"
134,plenty of time together in the future . And,Panty of time together in the future . And,,"
Pantry of time together in the future. And"
135,"Heaven alone knew when , if ever , he would be","Heaven alone knew nehm, if ever , he would be",," Heaven alone knew when, if ever, he would be"
136,"back on Moon again , and able to do","back on foon again , and able to do",,"
Back on foot again, and able to do."
137,research at first hand into matters on which,research at first hand into matters on which,,"
Research firsthand into matters on which"
138,"the future of everyone , including Angelina , depended ...","the futune of ever yone , including Angdina , depende .",,"
The future of everyone, including Angdina, depends."
139,The recovery of his balance was due to the,The recovery of his . balance was due to the,,"
The recovery of his balance was due to the."
140,"fact that he was living , virtually without","fact that he was living , vortually without",,"
Fact that he was living virtually without"
141,"expenses , with the people to whom Moke had","eacrenses , with the people to whom noke had",,"
    Experiences, with the people to whom he had"
142,sent him : little people who regarded him as,sert him. : little people who regareded him as,,"
    revered him. Little people who revered him as"
143,lucky to have descended from such economic altitudes .,lucky to have descended from such economic altudes .,,"
    Lucky to have descended from such economic altitudes."
144,Tom Dreyfus had a job on the machines in the Secretariat,fom Breyfus had a job on the machines in the Secretarial,,"
From Breyfus had a job on the machines in the Secretariat."
145,( Stamp Department ) while Sally sulked at home .,"I stamp Departmen t ) while sally sulked al home ,",,"
I stamped Department while Sally sulked at home."
146,"They had been married for six years , but the","They had been masried for six years , but the",,"
They had been married for six years, but the"
147,"salary raise , on the expectation of which they","salary raise , on the expectation of which they",,"
salary raise, on the expectation of which they"
148,"had done so , had not materialised . "" Do you","had done so , had not materialised . "" D0 you",,"
Had done so, had not materialized. ""Do you"
149,"know , I had to send back our bedroom","know , I had to send back or bedroom",,"
Know, I had to send back my bedroom."
150,"furniture in the second year , "" she moaned . She","forniture in the second year , "" she moaned . She",,"
Furniture in the second year, ""she moaned,"" she"
151,"had contacts in political circles , a school-","had contacts in political circles , a school-",,"
Had contacts in political circles, a school"
152,"friend of hers having married Lester Peron ,","friend of hers hoving married lester Peron ,",,"
Friend of hers having married Lester Peron."
153,a Mocrat Senator with a seat on the,a Hocrat Senator with a geat on the,,"
A Democrat Senator with a seat on the"
154,( literally ) all-powerful Rocket Release,literally ) all-powerfue rocket Relcase,,"
literally all-powerful rocket ReleasE"
155,"Sometimes she took Harry around with her , but","Sometimes she took Larry around with her , but",,"
Sometimes she took Larry out with her, but"
156,"never her husband , a fact he accepted as inevitable . "" I guess","never her husband , a fact he accepted as incvitable . "" I guess",,"
Never her husband, a fact he accepted as inevitable. ""I guess"
157,"Sally made a mistake about me , "" he said one","sally made a mistake abot me , , he said one",,"
Sally made a mistake about me, he said something."
158,"evening , when he had been left to cook his own meal .","evening , when he had been left to cook his oun meal .",,"
    Evening, when he had been left to cook his own meal."
159,"All Sally's relations were 4makrodeb now , but Tom","Al sally's relations were tmatrodeb now , but Tom",,"
All Sally's relations were troubled now, but Tom."
160,"was a Static Mib , the middle-income-bracket equivalent","was a static Mib , the middle - income-bracket equivalent",,"
Was a static mob, the middle-income bracket equivalent."
161,"All Aristotle was excited at the time , not by the prospect of the","Al aristetle was crited at the kine , not by the prospect of the",,"
Al Aristotle was credited at the time, not by the prospect of the"
162,"U.S. President's visit , but by a great storm in the photo-","U.S. Presedent's viset , but by a great strom in the plobs-",,"
U.S. President's visit, but was disrupted by a great storm in the plains."
163,sphere of the sun . A matter which on Earth would hardly,phere of the sure . I matter whach on Earth would hardly,,"
    Sphere of the shore. I matter which one Earth would hardly."
164,penetrate beyond the minds of astronomers was of general,peretrant beyond the monds of astrencners was of general,,"
Perpetrant beyond the bounds of astringency was of general"
165,"interest to the Mos , doubtless because their habitat is","intrest infrest to be tos , doubless because their habrite is",,"
Interest infested to be tossed, doubtless because their habitat is."
166,not submerged beneath a deep natural atmosphere .,not sulomerget bereath a deep natural atmosphere .,,"
Not solely merge breath a deep natural atmosphere."
167,One wondered if this greater awareness of the physical cosmos might,The wondered if this greeter awaveness of the plyrical carnes might,,"
The wondered if this greater awareness of the political campaigns might"
168,"with time instil the reverence which , on Earth , nature inspires ,","With time instill the reverence which , on Eaith , nature impires .",,"
With time instill the reverence which, on Earth, nature imparts."
169,especially when one reflected that the rockets over which Mr. Peron's,especily when one reffected that the reckets over which Mr. Peron's,,"
Especially when one reflected that the rockets over which Mr. Peron's"
170,Board presided had it in their power permanently to warp the,Goard presided had it in thir power permanently to wap the,,"
Guardians had it in their power permanently to warp the"
171,"solar system . True enough , such ultimate weapons had not been","Wdar eystem . Trive cnough , such ultimate weapons had nut been",,"
    War system. Thrive enough, such ultimate weapons had not been."
172,"used in the last few wars , but it seemed very probable",lused in the but the few wass . but it seemed my probate,,"
Used in the but the few was, but it seemed my problem."
173,"that they would be in the next one , Moon and her","that they would be in the lelt next one , Moon and her",,"
That they would be in the left next one, Moon and her."
174,allies being more inferior than formerly to W.C.U. in the,allies being more inferior than formoty to W.C.M. in the,,"
Allies being more inferior than formerly to W.C.M. in the"
175,weapons pronounced conventional .,Weapons pronounced conventional,,"
Weapons pronounced as conventional"
176,Lester was not home yet from his formidable,Lesterwas not home yet from his for midable,,"
Lester was not home yet from his formidable"
177,"duties and his wife , in the manner of middle-brow","daties and his wife , in the monner of niddle-brow",,"
Dates and his wife, in the manner of middle-brow."
178,"wives , romanced about him in his absence . "" Lester was a","Wiles , romanced about himein his absence . "" ester was a",,"
Wiles, romanced about him in his absence. ""Ester was a"
179,"country lawyer , and we were very small 4microdebs , weren't we ,","country lawper , and we were verysmall fricrodels , weren twe ,",,"
Country lawmakers, and we were very small frictions, weren't we?"
180,"Sally "" - here she had dropped her voice in homage to the","Sally "" here she had dropped her wvice in homage to the",," Sally "" here she had dropped her voice in homage to the"
181,"economic system : that was reverenced - "" when he thought","economic systen : that was reverensed - "" when he thougt",,"
    Economic system: that was reversed - ""when he thought"
182,we might get GO a bit better if he entered politics .,we might get G0 a bit better if he entered polities .,,"
We might get GO a bit better if he entered politics."
183,Know how he did it ? He 's clever on,know how he did it ? He's clewer on,,"
Know how he did it? He's cleverer on."
184,the mouth-organ . So when he visited some,the mouth-organ . So when he visited some,,"
The mouth-organ. So, when he visited some"
185,craterlet on Face ( ours is an agricultural,craterlet on Tacalours is on agriculternal,,"
Caretaker on Tacalours is on agricultural."
186,"Back-Face area ) the cry would go up ,","Back-Face aread) the cry would go up ,",,"
Back-Faced area) the cry would go up,"
187,as soon as he had spoken a few,as soon as he had spokes a few,,"
As soon as he had spoken a few."
188,sentences of his speech : ' Cut the,sentences of his speech . ' ( ut the,,"
Sentences of his speech, but the"
189,"politics , Lester , give us something on","politics , Lester , give is something on",," Politics, let's give something on."
190,But since starting salaries would depend on grade A,Bat since starting salarias would depand on grade t,,"
    But since starting salaries would depend on grade."
191,"or B in the finals next May , and since mating","or B in the finals next May , and since mating",,"
    For B in the finals next May, and then meeting."
192,"prospects would depend upon salaries , scholarship for","prespects would depend upon salaries , scholarshin for",,"
    Prospects would depend upon salaries, scholarship for"
193,these fine young people was closely geared to,these ine young people was closely geared to,,"
These nine young people were closely geared to"
194,"economic and biological ends which , essentially ,","economic and bidogical ends a which , essentially ,",,"
economic and biological ends, which, essentially,"
195,"were really means . So , seeing them revolve in","were really means . So , seeding them revalves in",,"
Were really means. So, seeding them resolves in."
196,"circles , Harry had the feeling that Moke ( or what","cindes , Harry had the feefing that Noke Cor whaten",,"
Cindy, Harry had the feeling that something was wrong."
197,"Moke consciously or unconsciously symbolised , any-"," Mole consciously ox unconscintly symbalised , any-",,"
    'Mole consciously or unconsciously symbolised, any"
198,way in Harry's mind ) had these splendid young,way in Marry's mind ) had these splendid young,,"
Way in Mary's mind) had these splendid young"
199,"people by the short hairs , and was diverting them ...","people by the stlort hairs , and was divertins them .. .",,"
People by the short hairs, and were diverting them.. ."
200,"That 's how he got the votes , that 's how","That 's how he got the votes , that 's how",,"
That's how he got the votes, that's how."
201,we came through to 4makrodeb status and,we came through to Umakrodeb status and,,"
We came through to Umakrodebe status and"
202,"got all these lovely things "" - she waved a",got all these fovely things' - she waved a,,"
    ""Got all these lovely things,"" - she waved a hand."
203,"plump hand towards her grand pianos , etc :","plump hand towards her grand pianos , etci",,"
Plump hand towards her grand pianos, etc."
204,"at the same time a door banged - "" but don't",at the same time a door banged - ' but don't,," At the same time, a door banged - 'But don't!"
205,"say a word about it , Lester wants his","say a word about it , lester wants his",,"
Say something about it, Lester wants his."
206,mouth-organ to be forgotten now . The time,mouth-organ to be forgotten now . The time,,"
Mouth organ to be forgotten now. The time."
207,has come for him to be taken seriously,has come for him to be taken seriously,,"
    He has come for him to be taken seriously."
208,"Peron entered , a large man , who had once been","Peron entered , a lorge man twho had once been",,"
Person entered, a large man who had once been"
209,"handsome but was now seedy-looking , a sufferer","hand some but was non seedy-looking , a sufferer",,"
Hand some, but was not seedy-looking, a sufferer."
210,from stomach-ulcers . In the Back-Face tradition he,from stomach-ulcers . In the Back-Face tadition he,,"
From stomach ulcers. In the back-face tradition he"
211,"wore , and kept on indoors , a fifty gallon hat . Harry was","more , and kept on indoors , a fifty gallon hat .Herry was",,"
More, and kept indoors, a fifty-gallon hat. Harry was."
212,"prepared for something unpleasant , for this was","prepared for something unpleasant , for this was",,"
Prepared for something unpleasant, for this was inevitable."
213,the Senator who had annoyed the United States,the senator who had anoyed the United states,,"
The senator who had annoyed the United States."
214,by bragging how he had once won a trick from,by bragging hon he had once mon a trick from,,"
By bragging, he had once won a trick from."
215,W.C.U. by threatening to loose off one of his,W.C. U. by threatersing to loose off one of his,,"
W.C. was threatened by one of his foes."
216,rockets ( an admission which would scarcely help,rockets lan admission which would scarcely help,," Rockets land admission, which would scarcely help."
217,"bluff to succeed the next time ) and , lately , by","bloff to succeed the next time ) and , lakely , by",,"
    Bluff to succeed the next time, and luckily, by."
218,saying that if Mo land-troops had to come to the aid,saying that if Moland-troops had to come to the said,,Saying that if Moland troops had to come to the scene
219,"of the O.G.O. contingent in the Panama region ,",etthe efensestisetin thebsesvesis,,"
The defense establishment in the bases itself."
220,But privately he turned out to be as friendly as,But privately he turned out to be as triendly as,,But privately he turned out to be as friendly as
221,"Mr. Wise the tube manufacturer , to have the same adolescent","Mr. Wise the tube manutacturer , to have the same abdolescent",,"
Mr. Wise, the tube manufacturer, had the same adolescent."
222,"openness and freshness , though perhaps not the same","openess and trakness , though perhaps not the same",,"
Openness and toughness, though perhaps not the same."
223,maturity . One remembered that he was a lawyer,maturrity . One remembered that he was a lawper,,"
Maturity. One remembered that he was a lawyer."
224,"by training , and suspected that the points he made","by training , and suspected tat the points he made",,"
By training, and suspecting that the points he made"
225,so sharply in international politics were as abstract,so sharply in international politics were as abstact,,"
So sharply in international politics were as abstract"
226,to him as those a lawyer makes in a court,to him as these a lawper maber in a court,,"
To him as these a lawyer member in a court."
227,"The motive would be the same in both cases , to","The motive would be the same in both cases , to",,"
The motive would be the same in both cases, to"
228,"serve this home of his , in which his heart lay .","serve this home of his , in which his heart lay .",,"
    Serve this home of his, in which his heart lay."
229,Here the rocket man's charm was disarming . Yet,Here the rochet man's charm was disarming . Yet,,Here the roguish man's charm was disarming. Yet
230,"when the time came to leave , Harry felt as de-","when the time came to leave , Htarry felt as de-",,"
When the time came to leave, Harry felt despondent."
